timestamp,s7_b2,s9_b1,s9_b2,s7_b3,s7_b4,s7_b1,s10_b1,s10_b2,s8_b2,s8_b3,s8_b1,hv_bk_1
07/18/13 16:00,3347265.7914639995,2095998.40049,840805.315919,2924645.983818,2514304.3555079997,6301495.440773999,3365102.0640480006,1675743.102726,3774997.851659,2099068.621061,839627.94247,
07/18/13 16:00,3347265.7914639995,2095998.40049,840805.315919,2924645.983818,2514304.3555079997,6301495.440773999,3365102.0640480006,1675743.102726,3774997.851659,2099068.621061,839627.94247,
07/18/13 16:01,3317608.671174,2077380.0966849998,833336.5740690001,2898733.310867,2492027.347012,6245663.625074,3335243.7119620005,1660874.253122,3741517.9512569997,2080452.2770719999,832181.395988,
07/18/13 16:01,3317608.671174,2077380.0966849998,833336.5740690001,2898733.310867,2492027.347012,6245663.625074,3335243.7119620005,1660874.253122,3741517.9512569997,2080452.2770719999,832181.395988,
07/18/13 16:02,3294070.6306330003,2062603.992688,827409.133049,2878167.135139,2474346.698288,6201351.447422,3311546.6560809994,1649073.60555,3714946.31472,2065677.2413070002,826271.3747030001,
07/18/13 16:02,3294070.6306330003,2062603.992688,827409.133049,2878167.135139,2474346.698288,6201351.447422,3311546.6560809994,1649073.60555,3714946.31472,2065677.2413070002,826271.3747030001,
07/18/13 16:03,3149958.153359,1972149.0129749998,791123.089618,2752250.007425,2366096.3111770004,5930048.5696519995,3166472.143564,1576829.483899,3552269.189708,1975221.3821880003,790088.9893489999,
07/18/13 16:03,3149958.153359,1972149.0129749998,791123.089618,2752250.007425,2366096.3111770004,5930048.5696519995,3166472.143564,1576829.483899,3552269.189708,1975221.3821880003,790088.9893489999,
07/18/13 16:04,3011928.881131,1885532.78982,756376.984187,2631648.034602,2262415.341205,5670197.760935999,3027540.774197,1507644.5552150002,3396472.653287,1888591.4475820002,755436.977415,
07/18/13 16:04,3011928.881131,1885532.78982,756376.984187,2631648.034602,2262415.341205,5670197.760935999,3027540.774197,1507644.5552150002,3396472.653287,1888591.4475820002,755436.977415,
07/18/13 16:05,2890039.9658979997,1809061.414166,725700.501215,2525148.57216,2170858.237485,5440732.398047,2904870.6555720004,1446557.417479,3258905.174499,1812097.6994629998,724839.4460209999,
07/18/13 16:05,2890039.9658979997,1809061.414166,725700.501215,2525148.57216,2170858.237485,5440732.398047,2904870.6555720004,1446557.417479,3258905.174499,1812097.6994629998,724839.4460209999,
07/18/13 16:06,2784512.498687,1742867.2716310003,699146.741202,2432944.795713,2091591.0714600002,5242068.712691,2798678.316117,1393675.8866400002,3139812.069323,1745876.54305,698350.956745,
07/18/13 16:06,2784512.498687,1742867.2716310003,699146.741202,2432944.795713,2091591.0714600002,5242068.712691,2798678.316117,1393675.8866400002,3139812.069323,1745876.54305,698350.956745,
07/18/13 16:07,2692372.621729,1685080.076241,675965.434376,2352438.3199320002,2022380.022638,5068608.193596,2705966.574007,1347507.423992,3035833.824836,1688059.9355219998,675224.291281,
07/18/13 16:07,2692372.621729,1685080.076241,675965.434376,2352438.3199320002,2022380.022638,5068608.193596,2705966.574007,1347507.423992,3035833.824836,1688059.9355219998,675224.291281,
07/18/13 16:08,2627762.473676,1644563.7374439999,659712.328847,2295985.724016,1973847.9848540002,4946974.5318950005,2640960.13435,1315135.616824,2962925.888215,1647519.826103,659008.232236,
07/18/13 16:08,2627762.473676,1644563.7374439999,659712.328847,2295985.724016,1973847.9848540002,4946974.5318950005,2640960.13435,1315135.616824,2962925.888215,1647519.826103,659008.232236,
07/18/13 16:09,2575205.352072,1611608.7218689998,646492.447059,2250064.363491,1934369.6021060003,4848031.6312069995,2588083.4205100005,1288804.1548849999,2903621.059207,1614543.660711,645817.753916,
07/18/13 16:09,2575205.352072,1611608.7218689998,646492.447059,2250064.363491,1934369.6021060003,4848031.6312069995,2588083.4205100005,1288804.1548849999,2903621.059207,1614543.660711,645817.753916,
07/18/13 16:10,2514526.674689,1573564.670309,631231.1053569999,2197046.859693,1888790.698008,4733799.259172,2527038.9355099997,1258405.325397,2835154.307467,1576473.053053,630589.497133,
07/18/13 16:10,2514526.674689,1573564.670309,631231.1053569999,2197046.859693,1888790.698008,4733799.259172,2527038.9355099997,1258405.325397,2835154.307467,1576473.053053,630589.497133,
07/18/13 16:11,2469768.963149,1545505.02562,619975.003025,2157940.1714310003,1855170.8583189999,4649539.350626,2482013.5569909997,1235983.6676190002,2784653.574518,1548392.364249,619357.211714,
07/18/13 16:11,2469768.963149,1545505.02562,619975.003025,2157940.1714310003,1855170.8583189999,4649539.350626,2482013.5569909997,1235983.6676190002,2784653.574518,1548392.364249,619357.211714,
07/18/13 16:12,2447234.399022,1531378.240214,614308.0562999999,2138250.778764,1838243.9781530001,4607116.262398,2459344.833669,1224695.135946,2759228.056275,1534254.62807,613702.112303,
07/18/13 16:12,2447234.399022,1531378.240214,614308.0562999999,2138250.778764,1838243.9781530001,4607116.262398,2459344.833669,1224695.135946,2759228.056275,1534254.62807,613702.112303,
07/18/13 16:13,2457722.09462,1537952.756731,616945.417702,2147414.317989,1846121.8304909999,4626860.17437,2469894.8256590003,1229948.800231,2771061.191302,1540834.385733,616334.0176360001,
07/18/13 16:13,2457722.09462,1537952.756731,616945.417702,2147414.317989,1846121.8304909999,4626860.17437,2469894.8256590003,1229948.800231,2771061.191302,1540834.385733,616334.0176360001,
07/18/13 16:14,2460806.0757009997,1539886.129845,617720.988376,2150108.921341,1848438.368626,4632666.010923999,2472997.205856,1231493.719195,2774540.809413,1542769.2103869999,617107.9481840001,
